skatt	ˈskɑt
president	pɾəsɪˈdɛnt
lykkelig	ˈlʏkəlɪ
menneske	ˈmɛnəskə
ødelagt	ˈøːdəˌlɑkt
planen	ˈplɑːnn
kjæresten	ˈçæːɾəstn
sekunder	səˈkʊnəɾ
stikk	ˈstɪk
hånden	ˈhɔnn
drink	ˈdɾɪŋk
bilde	ˈbɪldə
george	ˈɡeːɔɾɡ
ordne	ˈɔɖɳə
leder	ˈleːəɾ
kjøpte	ˈçœptə
døden	ˈdøːdn
fest	ˈfɛst
tv	ˈteːˌʋeː
forstått	fɔˈʂʈɔt
forlate	fɔˈɭɑːtə
selge	ˈsɛlə
skål	ˈskoːl
brukt	ˈbɾʊkt
arbeid	ˈɑɾˌbæɪd
iblant	ɪˈblɑnt
ordre	ˈɔɖɾə
minste	ˈmɪstə
sterk	ˈstæɾk
kamp	ˈkɑmp
prøvd	ˈpɾœʋd
satte	ˈsɑtə
fortsetter	ˈfɔʈˌʂɛtəɾ
miste	ˈmɪstə
lurte	ˈlʉːʈə
dyr	ˈdyːɾ
bord	ˈbuːɾ
onkel	ˈʊŋkəl
deler	ˈdeːləɾ
følg	ˈfœl
søsteren	ˈsœstəɳ
savner	ˈsɑʋnəɾ
fortjener	fɔʈˈjeːnəɾ
øl	ˈœl
lik	ˈliːk
sju	ˈʃʉː
tingene	ˈtɪŋənə
plutselig	ˈplʊtsəlɪ
hvilket	ˈʋɪlkət
sykehuset	ˈsyːkəˌhʉːsə
send	ˈsɛn
skipet	ˈʃiːpə
slikt	ˈʃlɪkt
søt	ˈsøːt
lyver	ˈlyːʋəɾ
kvinnen	ˈkʋɪnn
møtt	ˈmœt
glemt	ˈɡlɛmt
kroppen	ˈkɾɔpən
guds	ˈɡʉːds
interessert	ɪntɾəˈseːʈ
harry	ˈhɑɾɪ
midt	ˈmɪt
ni	ˈniː
ligge	ˈlɪɡə
sjansen	ˈʃɑŋsn
mennene	ˈmɛnnə
interessant	ɪntəɾəˈsɑnt
lærer	ˈlæːɾəɾ
skaffe	ˈskɑfə
okay	ʊˈkæɪ
kontroll	kʊnˈtɾɔl
stjal	ˈstjɑːl
savnet	ˈsɑʋnə
forelsket	fɔˈɾɛlskət
bill	ˈbɪl
merkelig	ˈmæɾkəlɪ
enig	ˈeːnɪ
lege	ˈleːɡə
fungerer	fʊŋˈɡeːɾəɾ
general	ɡənəˈɾɑːl
baby	ˈbæɪbʏ
usa	ˌʉːəsˈɑː
forbi	fɔɾˈbiː
sulten	ˈsʊltn
glemme	ˈɡlɛmə
lys	ˈlyːs
lukk	ˈlʊk
kalle	ˈkɑlə
flyet	ˈflyːə
flyttet	ˈflʏtət
pent	ˈpeːnt
verste	ˈʋæʂʈə
lærte	ˈlæːʈə
hender	ˈhɛnəɾ
sluttet	ˈʃlʊtət
ære	ˈæːɾə
innen	ˈɪnn
kutt	ˈkʊt
øyne	ˈœʏnə
ryggen	ˈɾʏɡən
fleste	ˈfleːstə
agent	ɑˈɡɛnt
hjalp	ˈjɑlp
eier	ˈæɪəɾ
personlig	pəˈʂuːnlɪ
mary	ˈmɑːɾʏ
jim	ˈjɪm
nyheter	ˈnyːˌheːtəɾ
elske	ˈɛlskə
kaste	ˈkɑstə
snu	ˈsnʉː
dumt	ˈdʊmt
hjerte	ˈjæʈə
sprø	ˈspɾøː
blant	ˈblɑnt
følte	ˈføːltə
nydelig	ˈnyːdəlɪ
øye	ˈœʏə
arbeidet	ˈɑɾˌbæɪdə
fanget	ˈfɑŋə
danny	ˈdɑnʏ
bob	ˈbɔb
