㔂甘蔗	lân-kam-tsià
三心兩意	sam-sim-lióng-ì
三思	sàm-su
三思而後行	sam-su-jî-hiō-hîng
三思而行	sàm-su-jî-hîng
三扣四扣	sann-khàu-sì-khàu
三把車	sann-pé-tshia
三指	sann-tsáinn
三揀四揀	sann-kíng-sì-kíng
三擺兩擺	sann-pái-nn̄g-pái
三支手	sann-ki-tshiú
三改	sann-kái
三敆鐵	Sann-kap-thih
三教九流	sam-kàu-kiú-liû
三文魚	sam-bûn-hî
三斑	sam-pan
三斑娘	sam-pan-niû
三斑弄濁水	sam-pan-lāng-lô-tsuí
三斑搖	sam-pan-iô
三斑魚	sam-pan-hî
三斤貓咬四斤鳥鼠	sann-kin-niau-kā-sì-kin-niáu-tshí
三日不見久溜溜	sann-ji̍t-put-kiàn-kiú-liu-liu
三日新	sann-ji̍t-sin
三日節	sann-ji̍t-tseh
三明	Sam-bîng
三星	Sann-tshenn
三時風兩時雨	sann-sî-hong,-nn̄g-sî-hōo
三更半暝	sann-kenn-puànn-mê
三更暝半	sann-kinn-mê-puànn
三月痟媽祖	sann-gue̍h-siáu-Má-tsóo
三月節	sann-gue̍h-tseh
三杯卵糕	sann-pue-nn̄g-ko
三林鎮	Sam-lîm-tìn
三步做一伐	sann-pōo-tsò-tsi̍t-hua̍h
三毛球	sam-môo-kiû
三民主義	Sam-bîn-tsú-gī
三流	sann-liû
三消病	sam-siau-pēnn
三消症	sann-siau-tsìng
三溫暖	sam-un-luán
三火	sann-hué
三爽	sàm-sóng
三牲胚	sam-sing-phue
三牲頭	sam-sing-thâu
三生	sann-senn
三界公	sam-kài-kong
三界公生	Sann-kài-kong-senn
三番五次	sann-huan-ngóo-tshù
三番五覆	sam-huan-ngóo-hok
三白	sam-pi̍k
三皇五帝	Sam-hông-Ngóo-tè
三目鐵	Sann-ba̍k-thih
三碗飯	sann-uánn-pn̄g
三立	Sam-li̍p
三等二號	sann-tíng-jī-hō
三等十二號	sann-tíng-tsa̍p-jī-hō
三節仔	sann-tsat-á
三節六蹺	sann-tsat-la̍k-khiau
三節曲	sann-tsat-khiau
三節蹺	sann-tsat-khiau
三級跳	sann-kip-thiàu
三綱鳥	sam-kong-tsiáu
三線路	sam-suànn-lōo
三總	Sam-tsóng
三義	Sam-gī
三耳草	sann-hīnn-tsháu
三聘五聘	sam-phìng-ngóo-phìng
三腳丁	sann-kha-ting
三腳仔	sann-kha-á
三腳剪	sann-kha-tsián
三腳弓	sann-kha-king
三腳推	sann-kha-tu
三腳架	sann-kha-kè
三腳株	sann-kha-tu
三腳桌	sann-kha-toh
三腳皮	sann-kha-phuê
三腳砧	sann-kha-tiam
三腳破	sann-kha-phuà
三腳虎	sann-kha-hóo
三腳貓	sann-kha-niau
三腳釘	sann-kha-ting
三腳馬	sann-kha-bé
三腳鱉	sann-kha-pih
三腳鼊	sann-kha-pih
三腳鼎	sann-kha-tiánn
三色	sam-sik
三色人講五色話	sam-sik-lâng-kóng-ngóo-sik-uē
三色豆	sam-sik-tāu
三芝	Sam-tsi
三花	sam-hua
三葉蘭	sann-hio̍h-lân
三葉酸	sann-hio̍h-sng
三薟草	sann-liâm-tsháu
三藍	sam-lâm
三藏	sam-tsōng
三親六認	sann-tshin-la̍k-jīn
三觀五覆	sam-kuan-ngóo-hok
三角	sann-kak
三角仔	sann-kak-á
三角六肩	sann-kak-la̍k-king
三角姑	sann-kak-koo
三角娘仔	sann-kak-niû-á
三角店	Sann-kak-tiàm
三角形	sann-kak-hîng
三角格仔	sann-kak-keh-á
三角梅	sann-kak-muî
三角楓	sann-kak-png
三角法	sann-kak-huat
三角目	sann-kak-ba̍k
三角箛	sann-kak-koo
三角肉	sann-kak-bah
三角肌	sann-kak-ki
三角肩	sann-kak-king
三角花	sann-kak-hue
三角薸	sann-kak-phiô
三角蛾	Sam-kak-ia̍h
三角身	sann-kak-sin
三角鉤	sann-kak-koo
三角鑽	sann-kak-tsǹg
三角鯧	sann-kak-tshiunn
三角龍	sann-kak-liông
三言兩語	sann-giân-lióng-gí
三請五喙	sann-tshiánn-gōo-tshuì
三請四姑情	sam-tshiánn-sì-koo-tsiânn
三講四毋著	sann-kóng-sì-m̄-tio̍h
三講四落氣	sann-kóng-sì-làu-khuì
三讀會	sam-tho̍k-huē
三貂角	Sam-tiau-kak
三跤仔	sann-kha-á
三跤娘仔	sann-kha-niû-á
