# Serbo-Croatian accent lexicon — word<TAB>stressed-nucleus ordinal (0-based)<TAB>accent.
# The accent is the four-way pitch system: SR short-rising, LR long-rising, SF short-falling,
# LF long-falling, and `--` = the position is known but two contours are recorded for this
# spelling (grâd/grȁd), so the engine emits ˈ and withholds the tone rather than guessing.
# Position is emitted as ˈ; the accent becomes a Chao tone letter + length.
# Shared by the sr / hr / bs engines, which all run serbian.ts's g2p. A nucleus is a vowel OR a syllabic ⟨r⟩.
# From kaikki.org Serbo-Croatian (Wiktionary extract, CC-BY-SA) — built from the ACCENTED
# ORTHOGRAPHY (rijéka), not the IPA (/rjěːka/), which has a different nucleus count under the
# Ijekavian ⟨ije⟩ reflex. Both scripts. See tools/serbian/build_sh_stress_lexicon.py.
akcentiranje	2	LR
akcentirati	2	LR
akcentiravši	2	LR
akcentom	0	SR
akcentu	0	SR
akceptor	0	SR
akcija	0	SR
akcijski	0	SR
aklamacija	2	LR
aklamirati	2	LR
aklimatizacija	4	LR
aklimatizacijski	4	LR
aklimatizacioni	0	SF
aklimatizirajući	4	LR
aklimatiziranje	4	LR
aklimatizirati	4	LR
aklimatiziravši	4	LR
aklimatizovati	2	SR
ako	0	SF
akobogda	1	SR
akomodacija	3	LR
akomodirajući	3	LR
akomodiranje	3	LR
akomodirati	3	LR
akomodiravši	3	LR
akontacija	2	LR
akontirajući	2	LR
akontiranje	2	LR
akontirati	2	LR
akontiravši	2	LR
akonto	1	SR
akoprem	0	SF
akorada	0	SR
akord	0	SR
akorda	0	SR
akov	0	SR
akra	0	SF
akre	0	SF
akreba	1	SR
akreditirati	3	LR
akreditiv	2	SR
akreditiva	3	LR
akri	0	SF
akribija	1	SR
akrobacija	2	SR
akrobat	1	SR
akrobatika	2	SR
akrobatski	1	SR
akromegalija	3	SR
akronim	1	SR
akropola	1	SR
akrostih	0	SF
aksiologija	3	SR
aksiom	1	SR
aksioma	2	LR
akt	0	SF
akter	0	SR
aktera	1	LR
aktinologija	3	SR
aktiv	0	SR
aktiva	1	LR
aktivacija	2	LR
aktivan	0	SF
aktivirajući	2	LR
aktiviranje	2	LR
aktivirati	2	LR
aktiviravši	2	LR
aktivisati	1	SR
aktivist	1	SR
aktivistički	2	SR
aktivistkinja	1	SR
aktivizam	2	SR
aktivizirajući	3	LR
aktiviziranje	3	LR
aktivizirati	3	LR
aktiviziravši	3	LR
aktivni	0	SF
aktivno	0	SF
