# Irish (ga) Connacht pronunciation lexicon — generated by tools/gen/build-ga-lexicon.mts (do not hand-edit).
# Oracle-distilled (espeak-ng-portable ga over the 50k corpus), Connacht-normalized vs the wikipron gle
# referee: broad bh/mh vˠ→w, unstressed final -e ɛ→ə, unstressed short i ɪ→ə, spurious break iːə→iː. Only
# consonant+glide-skeleton-matching entries are kept (pins semi-lexical VOWEL QUALITY — io/oi/eo splits —
# without importing a consonant quirk OR an oracle glide the rules omit), THEN referee-gated: any entry the
# wikipron gle referee covers is kept only if it folds to a referee pronunciation, so the lexicon never pulls
# a checkable word away from Connacht ground truth. word<TAB>IPA.
aontachtaíocha	eːn̪ˠt̪ˠəxt̪ˠˈiːxə
aontachtóir	eːn̪ˠt̪ˠəxt̪ˠˈoːⁱɾʲ
aontachtóireacht	eːn̪ˠt̪ˠəxt̪ˠˈoːⁱɾʲəxt̪ˠ
aontaobhach	ˈeːn̪ˠt̪ˠəeːəwəx
aontaíonn	eːn̪ˠt̪ˠˈiːn̪ˠ
aontaítear	eːn̪ˠt̪ˠˈiːtʲəɾˠ
aontoilíocht	ˈeːn̪ˠt̪ˠɔlʲiːxt̪ˠ
aonán	ˈeːn̪ˠˌɑːn̪ˠ
aorthóir	eːɾˠhˈoːⁱɾʲ
aosdána	ˈeːsˠd̪ˠˌɑːn̪ˠə
apaitítí	əpˠətʲˈiːtʲiː
aracáin	əɾˠəkˈɑːⁱnʲ
aragua	ˈaɾˠəɡuːə
aragóin	əɾˠəɡˈoːⁱnʲ
aragóinis	əɾˠəɡˈoːⁱnʲəʃ
aragón	əɾˠəɡˈoːn̪ˠ
araibís	əɾˠəbʲˈiːʃ
araile	əɾˠˈalʲə
arathorn	əɾˠəhˈɔɾˠən̪ˠ
araíonachta	əɾˠˈiːn̪ˠəxt̪ˠə
arb	ˈaɾˠbˠ
arbeiterpartei	ˈaɾˠbʲɛtʲəɾʲpˠəɾˠtʲə
arbhair	ˈaɾˠəwəɾʲ
arda	ˈɑːɾˠd̪ˠə
ardach	ˈɑːɾˠd̪ˠax
ardahan	ɑːɾˠd̪ˠˈahən̪ˠ
ardaithe	ɑːɾˠd̪ˠˈahə
ardaitheach	ɑːɾˠd̪ˠˈahəx
ardaitheoir	ɑːɾˠd̪ˠˈahoːɾʲ
ardaitheoirí	ɑːɾˠd̪ˠˈahoːɾʲiː
ardaíonn	ɑːɾˠd̪ˠˈiːn̪ˠ
ardaítear	ɑːɾˠd̪ˠˈiːtʲəɾˠ
