# Thai lexical dictionary — word<TAB>IPA (Chao tone contours ˩˩˦/˨˩/˧/˦˥/˥˩), for irregulars the rules
# can't derive. Ported+converted from espeak-ng-portable data/th/dictionary.jsonl (tone digits→Chao).
ถึงแก่กรรม	tʰˈɯ˩˩˦ŋkɛː˨˩kˌa˧m
ถุงน้ำดี	tʰˈu˩˩˦ŋnaː˦˥mdˌiː˧
ถ้วยตวง	tʰˈua˥˩jtua˧ŋ
ทบทวน	tʰˈo˦˥ptʰua˧n
ทรง	sˈo˧ŋ
ทรงกลม	sˈo˧ŋklo˧m
ทรมาน	tʰˈɔː˧ra˦˥mˌaː˧n
ทรยศ	tʰˈɔː˧ra˦˥jˌo˦˥t
ทรราช	tʰˈɔː˧ra˦˥rˌaː˥˩t
ทรวง	sˈua˧ŋ
ทรวดทรง	sˈua˥˩tso˧ŋ
ทรหด	tʰˈɔː˧ra˦˥hˌo˨˩t
ทรัพยากร	sˈa˦˥ppʰa˦˥jˌaː˧kɔː˧n
ทรัพยากรธรรมชาติ	sˈa˦˥ppʰa˦˥jˌaː˧kɔː˧ntʰˌa˧mma˦˥t͡ɕʰˌaː˥˩t
ทรัพย์	sˈa˦˥p
ทราบ	sˈaː˥˩p
ทราย	sˈaː˧j
ทรุด	sˈu˦˥t
ทฤษฎี	tʰrˈi˦˥tsa˨˩dˌiː˧
ทฤษฎีบท	tʰrˈi˦˥tsa˨˩dˌiː˧bo˨˩t
ทศวรรษ	tʰˈo˦˥tsa˨˩wˌa˦˥t
ทองคำเปลว	tʰˈɔː˧ŋkʰa˧mplˌeː˧w
ทอดพระเนตร	tʰˈɔː˥˩tpʰra˦˥nˌeː˥˩t
ทะเลทราย	tʰˈa˦˥leː˧sˌaː˧j
ทันตแพทยศาสตร์	tʰˈa˧nta˨˩pʰˌɛː˥˩ttʰa˦˥jˌa˦˥saː˨˩t
ทับทรวง	tʰˈa˦˥psua˧ŋ
ทัศนคติ	tʰˈa˦˥tsa˨˩nˌa˦˥kʰa˦˥tˌi˨˩ʔ
ทัศนวิสัย	tʰˈa˦˥tsa˨˩nˌa˦˥wi˦˥sˌa˩˩˦j
ทัศนะ	tʰˈa˦˥tsa˨˩nˌa˦˥ʔ
ทัศนาจร	tʰˈa˦˥tsa˨˩nˌaː˧t͡ɕɔː˧n
ทัศนียภาพ	tʰˈa˦˥tsa˨˩nˌiː˧ja˦˥pʰˌaː˥˩p
ทั้งปวง	tʰˈa˦˥ŋpua˧ŋ
ทางช้างเผือก	tʰˈaː˧ŋt͡ɕʰaː˦˥ŋpʰˌɯa˨˩k
ทางด่วน	tʰˈaː˧ŋdua˨˩n
ทางเท้า	tʰˈaː˧ŋtʰaː˦˥w
ทายาทโดยธรรม	tʰˈaː˧jaː˥˩tdˌoː˧jtʰa˧m
ทารุณกรรม	tʰˈaː˧ru˧nnˌa˦˥ka˧m
ทินกร	tʰˈi˧nna˦˥kˌɔː˧n
ที่ปรึกษา	tʰˈiː˥˩prɯ˨˩ksˌaː˩˩˦
ที่อยู่	tʰˈiː˥˩juː˨˩
